Num_particles,Max_iter,w,c1,c2,Best_value
10,50,0.3,1.0,1.0,4.974790267970521
10,50,0.3,1.5,1.5,8.194189349037377
10,50,0.3,2.0,2.0,1.1166265197600787
10,50,0.5,1.0,1.0,8.03832379604233
10,50,0.5,1.5,1.5,4.977103415184785
10,50,0.5,2.0,2.0,0.42746346882787734
10,50,0.7,1.0,1.0,4.101340390913689
10,50,0.7,1.5,1.5,2.2339943431709486
10,50,0.7,2.0,2.0,17.51001215217573
10,100,0.3,1.0,1.0,1.199046835173526
10,100,0.3,1.5,1.5,0.9981409645342989
10,100,0.3,2.0,2.0,2.1355611156785503
10,100,0.5,1.0,1.0,5.489165363400015
10,100,0.5,1.5,1.5,0.9362366792879921
10,100,0.5,2.0,2.0,2.0770406123167273
10,100,0.7,1.0,1.0,0.008472489328722688
10,100,0.7,1.5,1.5,1.167545501252965
10,100,0.7,2.0,2.0,0.39952440825196334
10,200,0.3,1.0,1.0,3.6967740938040015
10,200,0.3,1.5,1.5,15.919921864730593
10,200,0.3,2.0,2.0,1.0157522884195487
10,200,0.5,1.0,1.0,2.858566510831217
10,200,0.5,1.5,1.5,8.214969740593478
10,200,0.5,2.0,2.0,2.147627718166822
10,200,0.7,1.0,1.0,1.9903401323200516
10,200,0.7,1.5,1.5,0.38086866834856714
10,200,0.7,2.0,2.0,1.134708428439815
20,50,0.3,1.0,1.0,1.6448030293604052
20,50,0.3,1.5,1.5,10.878676750358496
20,50,0.3,2.0,2.0,0.9950527656739201
20,50,0.5,1.0,1.0,9.783575731311993
20,50,0.5,1.5,1.5,0.8089688319007617
20,50,0.5,2.0,2.0,3.593041641585338
20,50,0.7,1.0,1.0,0.10257610362737246
20,50,0.7,1.5,1.5,1.0472434130553
20,50,0.7,2.0,2.0,2.0349848864555735
20,100,0.3,1.0,1.0,8.76926975205577
20,100,0.3,1.5,1.5,0.9961688000808184
20,100,0.3,2.0,2.0,0.9949590571403544
20,100,0.5,1.0,1.0,0.10438088759378239
20,100,0.5,1.5,1.5,0.9949593542869284
20,100,0.5,2.0,2.0,0.00011262720877702748
20,100,0.7,1.0,1.0,1.4470631351904935
20,100,0.7,1.5,1.5,2.122858472686275
20,100,0.7,2.0,2.0,0.04143538201260988
20,200,0.3,1.0,1.0,2.226226029238431
20,200,0.3,1.5,1.5,0.11542685580127632
20,200,0.3,2.0,2.0,0.00012697080451928855
20,200,0.5,1.0,1.0,1.989953334414876
20,200,0.5,1.5,1.5,1.991482556424005
20,200,0.5,2.0,2.0,0.46724060344673823
20,200,0.7,1.0,1.0,1.2541425232520211
20,200,0.7,1.5,1.5,0.2362685758254255
20,200,0.7,2.0,2.0,1.8664399865115069
30,50,0.3,1.0,1.0,1.0418814615282628
30,50,0.3,1.5,1.5,2.0046427594468756
30,50,0.3,2.0,2.0,1.9899808853909917
30,50,0.5,1.0,1.0,1.0121849962063347
30,50,0.5,1.5,1.5,0.7193105534857658
30,50,0.5,2.0,2.0,5.188984123094542e-05
30,50,0.7,1.0,1.0,1.0159979773543775
30,50,0.7,1.5,1.5,1.0661757087568517
30,50,0.7,2.0,2.0,1.5250477226638264
30,100,0.3,1.0,1.0,1.046935516496072
30,100,0.3,1.5,1.5,1.9899188205859026
30,100,0.3,2.0,2.0,0.9958864616359051
30,100,0.5,1.0,1.0,0.9961385065931694
30,100,0.5,1.5,1.5,1.989973987201223
30,100,0.5,2.0,2.0,0.9949590579859944
30,100,0.7,1.0,1.0,0.9978516855175776
30,100,0.7,1.5,1.5,0.05243232727916336
30,100,0.7,2.0,2.0,0.15615869693545115
30,200,0.3,1.0,1.0,1.9974306987631767
30,200,0.3,1.5,1.5,2.836787155402476e-06
30,200,0.3,2.0,2.0,0.024135576999958275
30,200,0.5,1.0,1.0,3.5031086422776525e-06
30,200,0.5,1.5,1.5,0.996706857253514
30,200,0.5,2.0,2.0,0.9949753594800708
30,200,0.7,1.0,1.0,0.03132530953771351
30,200,0.7,1.5,1.5,1.2942180236681669
30,200,0.7,2.0,2.0,5.040151671091435
40,50,0.3,1.0,1.0,1.1323253545202725
40,50,0.3,1.5,1.5,3.9812198868379802
40,50,0.3,2.0,2.0,1.295125610937843
40,50,0.5,1.0,1.0,0.021578148164818955
40,50,0.5,1.5,1.5,1.8215383281727782e-06
40,50,0.5,2.0,2.0,1.002271153097782
40,50,0.7,1.0,1.0,0.3263011216753391
40,50,0.7,1.5,1.5,1.1241933912954387
40,50,0.7,2.0,2.0,0.8139703299202878
40,100,0.3,1.0,1.0,3.1710765950673903
40,100,0.3,1.5,1.5,0.9949766092707257
40,100,0.3,2.0,2.0,0.018228247245433593
40,100,0.5,1.0,1.0,1.0052532928317515
40,100,0.5,1.5,1.5,1.5765090084377213
40,100,0.5,2.0,2.0,7.03471048186799e-05
40,100,0.7,1.0,1.0,0.9955431101348591
40,100,0.7,1.5,1.5,8.239187596004172e-05
40,100,0.7,2.0,2.0,0.15327145716187474
40,200,0.3,1.0,1.0,0.8435572776754192
40,200,0.3,1.5,1.5,1.942376549720752
40,200,0.3,2.0,2.0,0.0
40,200,0.5,1.0,1.0,4.974790251134753
40,200,0.5,1.5,1.5,1.9899181290377452
40,200,0.5,2.0,2.0,0.00024158491662973347
40,200,0.7,1.0,1.0,1.0511924918765203
40,200,0.7,1.5,1.5,3.3364155882509294e-09
40,200,0.7,2.0,2.0,0.012383176157021225
